channel,channel_name,source,connector_label,preamp_gain_dB,phantom,polarity,fader_dB,muted,main1_house,main2,main3,main4,HPF_Hz,LPF_Hz,gate_model,gate_thr_dB,gate_range_ratio,gate_rel_ms,eq_model,dyn_model,dyn_thr_dB,dyn_ratio,dyn_att_ms,bus_sends,matrix_sends
31,(unnamed),LCL-8,FOH TB,30,,,-144.0,,OFF,OFF,OFF,OFF,147/24dB,11654/12dB,off,,,,STD,off,,,,TALKBACKS@-0.4(pre),
32,(unnamed),A-32,TB,38,,,-144.0,,OFF,OFF,OFF,OFF,100/24dB,15322/12dB,GATE,-49,40,378,STD,off,,,,TALKBACKS@0.1(pre),
33,(unnamed),LCL-1,KIDS LAPEL,5,,,-4.0,,OFF,OFF,OFF,OFF,133/24dB,9526/12dB,GATE,-50,40,200,STD,COMP,-20,2,20,STAGE MON@-12.0(pre) | BROADCAST@-10.0,
34,PC PLAYBACK,USB-1,KICK,,,,-6.0,,0.0,OFF,OFF,OFF,off,off,off,,,,off,off,,,,BROADCAST@-6.0,
35,(unnamed),MOD-1,AL FOH,,,,-69.7,,OFF,OFF,OFF,OFF,off,off,off,,,,off,off,,,,,
36,AL BCAST,MOD-3,,,,,-144.0,,OFF,OFF,OFF,OFF,80/24dB,off,GATE,-55,30,200,STD,COMP,-20,2,20,,
37,(unnamed),OFF,,,,,-144.0,MUTE,OFF,OFF,OFF,OFF,off,off,off,,,,STD,COMP,0,3,34,,
38,(unnamed),OFF,,,,,-144.0,MUTE,OFF,OFF,OFF,OFF,off,off,off,,,,STD,COMP,0,3,34,,
39,(unnamed),A-23,CRWD 1,15.5,48V,,-144.0,MUTE,OFF,OFF,OFF,OFF,off,off,off,,,,STD,off,,,,,
40,TB,A-24,CRWD 2,15.5,48V,,-144.0,,OFF,OFF,OFF,OFF,100/24dB,10018/12dB,off,,,,STD,COMP,-19.5,6,8,,
